Molecule Name,LDA Enthalpy,PBE Enthalpy,B3LYP Enthalpy,wB97x-D3 Enthalpy,M06-2X Enthalpy,Hydrogen Count,Hydrogen Enthalpy Correction,Final Hydrogen LDA Enthalpy,Final Hydrogen PBE Enthalpy,Final Hydrogen B3LYP Enthalpy,Final Hydrogen B97X Enthalpy,Final Hydrogen M062X Enthalpy,Carbon Count,Carbon Enthalpy Correction,Final Carbon LDA Enthalpy,Final Carbon PBE Enthalpy,Final Carbon B3LYP Enthalpy,Final Carbon B97X Enthalpy,Final Carbon M062X Enthalpy,Nitrogen Count,Nitrogen Enthalpy Correction,Final Nitrogen LDA Enthalpy,Final Nitrogen PBE Enthalpy,Final Nitrogen B3LYP Enthalpy,Final Nitrogen B97X Enthalpy,Final Nitrogen M062X Enthalpy,Oxygen Count,Oxygen Enthalpy Correction,Final Oxygen LDA Enthalpy,Final Oxygen PBE Enthalpy,Final Oxygen B3LYP Enthalpy,Final Oxygen B97X Enthalpy,Final Oxygen M062X Enthalpy,Fluorine Count,Fluorine Enthalpy Correction,Final Fluorine LDA Enthalpy,Final Fluorine PBE Enthalpy,Final Fluorine B3LYP Enthalpy,Final Fluorine B97X Enthalpy,Final Fluorine M062X Enthalpy,Chlorine Count,Chlorine Enthalpy Correction,Final Chlorine LDA Enthalpy,Final Chlorine PBE Enthalpy,Final Chlorine B3LYP Enthalpy,Final Chlorine B97X Enthalpy,Final Chlorine M062X Enthalpy,LDA Enthalpy of Formation,PBE Enthalpy of Formation,B3LYP Enthalpy of Formation,B97X Enthalpy of Formation,M062X Enthalpy of Formation
Azobenzene,-567.03107194,-571.42268543,-571.77567151,-571.96262,-571.87229003,10,0.8303142259,-5.581397295155254,-5.793014218045254,-5.785309975195254,-5.820026007475255,-5.780830437955254,12,3.275581794,-452.3070711321303,-456.2622731201344,-456.75988765560635,-456.85674257315435,-456.80220029838637,2,0.3600708436,-108.48768496758105,-109.28855586347305,-109.38091820690305,-109.40568190891705,-109.39832907072305,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6549185451333415,-0.07884222834729826,0.1504443277045766,0.11983048954664355,0.10906977706463294
Caffeine,-674.11115668,-678.91639376,-679.30475202,-679.50764836,-679.40362349,10,0.8303142259,-5.581397295155254,-5.793014218045254,-5.785309975195254,-5.820026007475255,-5.780830437955254,8,2.183721196,-301.53804742142023,-304.17484874675625,-304.5065917704042,-304.57116171543623,-304.53480019892424,4,0.7201416872,-216.9753699351621,-218.5771117269461,-218.7618364138061,-218.8113638178341,-218.7966581414461,2,0.18980994096,-149.04358723439705,-150.01451110651305,-150.12776162650303,-150.14417617014504,-150.13028184877305,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9727547938654197,-0.3569079617393527,-0.12325223409141017,-0.16092064910924364,-0.1610528629013288
Ethanol,-153.5333245,-154.64042071,-154.74366728,-154.79543009,-154.75422757,6,0.49818853554,-3.348838377093152,-3.4758085308271522,-3.4711859851171525,-3.4920156044851525,-3.468498262773153,2,0.545930299,-75.38451185535506,-76.04371218668906,-76.12664794260105,-76.14279042885906,-76.13370004973106,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.09490497048,-74.52179361719853,-75.00725555325653,-75.06388081325152,-75.07208808507252,-75.06514092438653,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.27818065035324935,-0.11364443922724377,-0.08195253903028288,-0.0885359715832692,-0.0868883331092718
Pyrrole,-208.06936514,-209.67163761,-209.80188262,-209.87441159,-209.83584313,5,0.41515711295,-2.790698647577627,-2.896507109022627,-2.892654987597627,-2.9100130037376273,-2.890415218977627,4,1.091860598,-150.76902371071012,-152.08742437337813,-152.2532958852021,-152.28558085771812,-152.26740009946212,1,0.1800354218,-54.24384248379052,-54.644277931736525,-54.69045910345152,-54.70284095445852,-54.699164535361525,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.26580029792174287,-0.043428195862730945,0.034527356251288666,0.02402322591424877,0.021136723801276958
Acetaminophen,-510.62848579,-514.34167353,-514.65080306,-514.80355671,-514.72102637,9,0.74728280331,-5.023257565639728,-5.213712796240729,-5.206778977675729,-5.238023406727729,-5.202747394159729,8,2.183721196,-301.53804742142023,-304.17484874675625,-304.5065917704042,-304.57116171543623,-304.53480019892424,1,0.1800354218,-54.24384248379052,-54.644277931736525,-54.69045910345152,-54.70284095445852,-54.699164535361525,2,0.18980994096,-149.04358723439705,-150.01451110651305,-150.12776162650303,-150.14417617014504,-150.13028184877305,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7797510847525473,-0.2943229487534609,-0.11921158196548731,-0.14735446323243195,-0.15403239278145975
Diclofenac,-1655.35094725,-1663.42098202,-1664.13082389,-1664.47788925,-1664.34451511,11,0.91334564849,-6.139537024670779,-6.372315639849779,-6.3638409727147796,-6.402028608222779,-6.35891348175078,14,3.821512093,-527.6915829874854,-532.3059853068235,-532.8865355982074,-532.9995330020134,-532.9359003481175,1,0.1800354218,-54.24384248379052,-54.644277931736525,-54.69045910345152,-54.70284095445852,-54.699164535361525,2,0.18980994096,-149.04358723439705,-150.01451110651305,-150.12776162650303,-150.14417617014504,-150.13028184877305,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2,0.09240297086,-917.0608215817891,-919.6820467369131,-919.9692845536352,-920.0676917706072,-920.0399064303011,-1.1715759378671464,-0.4018452981642895,-0.09294203548824953,-0.16161874455315228,-0.18034846569617002
Ibuprofen,-650.19854683,-655.10630484,-655.5204096,-655.76683036,-655.62341208,18,1.49456560662,-10.046515131279456,-10.427425592481457,-10.413557955351457,-10.476046813455458,-10.405494788319459,13,3.5485469435,-489.99932705980785,-494.28412921347893,-494.82321162690687,-494.92813778758386,-494.8690503232519,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2,0.18980994096,-149.04358723439705,-150.01451110651305,-150.12776162650303,-150.14417617014504,-150.13028184877305,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.1091174045157004,-0.3802389275265341,-0.15587839123861613,-0.21846958881553746,-0.2185851196555859
Hydrocortisone,-1182.90908014,-1191.57182985,-1192.29111076,-1192.75934104,-1192.51279333,30,2.4909426777,-16.74419188546576,-17.379042654135763,-17.355929925585762,-17.460078022425762,-17.342491313865764,21,5.7322681395,-791.5373744812281,-798.4589779602352,-799.329803397311,-799.4992995030201,-799.4038505221762,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5,0.47452485240000003,-372.6089680859926,-375.03627776628264,-375.31940406625756,-375.36044042536264,-375.32570462193263,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0185456873134626,-0.6975314693463588,-0.2859733708457952,-0.43952308919142524,-0.4407468720255565
Dexamethasone,-1319.19019507,-1328.67025884,-1329.46812541,-1329.95373698,-1329.70388467,29,2.40791125511,-16.186052155950236,-16.799741232331236,-16.777398928066237,-16.878075421678236,-16.764408270070238,22,6.005233289,-829.2296304089057,-836.4808340535797,-837.3931273686115,-837.5706947174497,-837.4707005470417,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5,0.47452485240000003,-372.6089680859926,-375.03627776628264,-375.31940406625756,-375.36044042536264,-375.32570462193263,1,0.0302380499,-99.00480218105652,-99.56770823324352,-99.63447715696452,-99.64414463205452,-99.63614865821852,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.160742238095054,-0.7856975545630576,-0.34371789010015164,-0.5003817834549409,-0.5069225727370394
Prednisone,-1180.59083341,-1189.22789611,-1189.93931303,-1190.3827433,-1190.15514865,26,2.15881698734,-14.51163296740366,-15.06183696691766,-15.04180593550766,-15.132067619435661,-15.030159138683661,21,5.7322681395,-791.5373744812281,-798.4589779602352,-799.329803397311,-799.4992995030201,-799.4038505221762,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5,0.47452485240000003,-372.6089680859926,-375.03627776628264,-375.31940406625756,-375.36044042536264,-375.32570462193263,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9328578753757029,-0.6708034165644676,-0.2482996309236114,-0.390935752181349,-0.3954343672075993
